date,close,high,low
2003-08-29,46.3200,46.9500,38.2800
2003-07-31,41.6400,43.1000,34.0000
2003-06-30,36.3200,37.2400,32.8300
2003-05-30,35.8900,36.0900,28.1500
2003-04-30,28.6900,29.1900,24.1300
2003-03-31,26.0300,28.0400,21.3600
2003-02-28,22.0100,22.5000,19.6100
2003-01-31,21.8500,23.2900,18.5500
2002-12-31,18.8900,25.0000,18.4300
2002-11-29,23.3500,24.5000,18.2000
2002-10-31,19.3500,20.2600,16.0100
2002-09-30,15.9300,17.9300,14.2400
2002-08-30,14.9400,15.9900,12.7800
2002-07-31,14.4600,17.1600,12.2600
2002-06-28,16.2500,19.1600,14.6800
2002-05-31,18.2300,20.4000,15.7500
2002-04-30,16.6900,17.0500,12.5200
2002-03-28,14.3000,16.9600,13.5500
2002-02-28,14.1000,14.7500,11.0600
2002-01-31,14.1900,15.7700,9.0300
2001-12-31,10.8200,12.8000,9.5100
2001-11-30,11.3200,12.4000,6.6000
2001-10-31,6.9800,9.9900,5.5100
2001-09-28,5.9700,9.1900,5.6700
2001-08-31,8.9400,12.8600,8.5500
2001-07-31,12.4900,17.4200,11.0700
2001-06-29,14.1500,17.9200,11.2000
2001-05-31,16.6900,17.6000,13.1000
2001-04-30,15.7800,18.1600,8.1000
2001-03-30,10.2300,14.0000,9.5630
2001-02-28,10.1900,17.1900,9.9380
2001-01-31,17.3100,22.3800,13.5600
2000-12-29,15.5600,27.6300,14.8800
2000-11-30,24.6900,40.8800,22.1300
2000-10-31,36.6300,38.4400,19.3800
2000-09-29,38.4400,49.6300,35.5000
2000-08-31,41.5000,43.9700,29.3100
2000-07-31,30.1300,43.9400,27.8800
2000-06-30,36.3100,58.1300,32.4700
2000-05-31,49.9400,62.3800,40.4400
2000-04-28,55.1900,68.6300,40.8100
2000-03-31,67.0000,75.1300,60.0000
2000-02-29,68.8800,85.9400,63.0600
2000-01-31,64.5600,91.5000,58.4400
1999-12-31,76.1300,113.0000,76.0000
